<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.30	01:05:00	21515.15	21515.15	21501.85	21502.65	101	0	290
2024.12.30	01:06:00	21502.35	21504.65	21492.55	21502.65	111	0	290
2024.12.30	01:07:00	21500.55	21508.85	21500.55	21508.35	71	0	290
2024.12.30	01:08:00	21508.45	21510.65	21507.55	21508.85	44	0	290
2024.12.30	01:09:00	21509.15	21509.35	21502.55	21502.55	45	0	290
2024.12.30	01:10:00	21502.65	21504.95	21496.85	21497.35	53	0	290
2024.12.30	01:11:00	21496.95	21501.65	21494.55	21494.95	103	0	290
2024.12.30	01:12:00	21494.95	21494.95	21485.45	21488.95	103	0	290
2024.12.30	01:13:00	21487.65	21487.65	21477.35	21479.35	88	0	290
2024.12.30	01:14:00	21479.05	21483.65	21478.55	21483.35	97	0	290
2024.12.30	01:15:00	21483.85	21491.05	21483.85	21489.45	77	0	290
2024.12.30	01:16:00	21489.85	21492.95	21488.35	21491.15	88	0	290
2024.12.30	01:17:00	21491.05	21491.15	21486.85	21487.45	47	0	290
2024.12.30	01:18:00	21487.95	21489.35	21486.65	21486.95	39	0	290
2024.12.30	01:19:00	21486.05	21497.55	21484.95	21497.55	63	0	290
2024.12.30	01:20:00	21497.05	21497.85	21494.45	21496.95	53	0	280
2024.12.30	01:21:00	21497.15	21501.55	21496.95	21498.35	57	0	280
2024.12.30	01:22:00	21497.75	21501.45	21497.55	21501.45	24	0	270
2024.12.30	01:23:00	21501.65	21501.65	21495.45	21496.65	42	0	270
2024.12.30	01:24:00	21496.45	21496.45	21487.45	21487.45	56	0	270
2024.12.30	01:25:00	21487.35	21490.15	21479.85	21483.15	105	0	270
2024.12.30	01:26:00	21483.35	21484.85	21474.85	21479.85	79	0	280
2024.12.30	01:27:00	21478.45	21486.35	21478.05	21484.35	82	0	290
2024.12.30	01:28:00	21484.15	21489.55	21484.05	21487.85	79	0	290
2024.12.30	01:29:00	21488.65	21493.15	21486.85	21486.85	68	0	290
2024.12.30	01:30:00	21486.65	21486.65	21481.65	21482.65	56	0	290
2024.12.30	01:31:00	21482.55	21482.55	21465.05	21469.95	113	0	290
2024.12.30	01:32:00	21470.35	21470.35	21462.95	21467.65	72	0	290
2024.12.30	01:33:00	21467.85	21469.35	21463.15	21463.95	69	0	290
2024.12.30	01:34:00	21464.05	21472.55	21464.05	21472.55	57	0	290
2024.12.30	01:35:00	21472.85	21474.15	21469.55	21471.55	62	0	290
2024.12.30	01:36:00	21470.45	21471.55	21466.65	21467.05	40	0	290
2024.12.30	01:37:00	21466.65	21467.85	21464.85	21465.15	35	0	290
2024.12.30	01:38:00	21464.55	21464.55	21449.85	21452.85	108	0	290
2024.12.30	01:39:00	21453.45	21454.65	21450.15	21452.05	104	0	290
2024.12.30	01:40:00	21453.15	21462.15	21453.15	21460.05	108	0	290
2024.12.30	01:41:00	21459.95	21461.35	21456.05	21458.45	72	0	290
2024.12.30	01:42:00	21457.65	21459.35	21450.15	21450.65	67	0	290
2024.12.30	01:43:00	21451.45	21459.35	21451.05	21459.05	59	0	290
2024.12.30	01:44:00	21459.15	21462.55	21458.05	21462.55	47	0	290
2024.12.30	01:45:00	21462.35	21473.85	21462.35	21471.35	103	0	290
2024.12.30	01:46:00	21471.15	21478.15	21470.35	21474.35	127	0	290
2024.12.30	01:47:00	21474.45	21476.55	21469.35	21472.55	95	0	290
2024.12.30	01:48:00	21472.55	21473.15	21470.55	21470.85	50	0	290
2024.12.30	01:49:00	21470.45	21470.85	21464.15	21466.55	65	0	290
2024.12.30	01:50:00	21466.65	21466.65	21458.35	21458.45	62	0	290
2024.12.30	01:51:00	21459.95	21469.85	21459.55	21465.65	78	0	290
2024.12.30	01:52:00	21467.05	21484.15	21465.95	21479.05	96	0	290
2024.12.30	01:53:00	21478.85	21482.45	21474.95	21481.55	69	0	290
2024.12.30	01:54:00	21482.35	21483.85	21475.85	21477.85	66	0	290
2024.12.30	01:55:00	21478.35	21480.65	21475.15	21480.15	51	0	290
2024.12.30	01:56:00	21479.45	21483.05	21479.45	21481.55	78	0	290
2024.12.30	01:57:00	21482.15	21482.35	21475.55	21479.85	76	0	290
2024.12.30	01:58:00	21479.45	21479.85	21475.55	21479.15	60	0	290
2024.12.30	01:59:00	21479.35	21481.35	21477.55	21480.75	84	0	280
2024.12.30	02:00:00	21480.75	21484.95	21474.05	21474.45	149	0	270
2024.12.30	02:01:00	21472.95	21473.05	21460.05	21462.85	149	0	290
2024.12.30	02:02:00	21462.95	21464.65	21453.35	21460.15	132	0	290
2024.12.30	02:03:00	21459.85	21463.95	21459.65	21463.95	105	0	290
